#{"t_start": 1746485341.7237988, "env_id": "None"}
r,l,t
7.836622,1,9808.584107
1503.524291,462,9828.876109
7.892516,1,9829.080459
5725.72143,743,9833.406472
4463.021013,533,9837.385397
74.788287,65,9837.966117
11810.087704,1469,9864.370714
16400.182996,2180,9895.106368
5368.828255,1101,9901.859622
-25.323168,34,9902.253313
16660.940135,1862,9931.66081
15054.038771,1604,9959.469747
14590.255606,1737,9989.506463
-38.151937,26,9989.91774
8370.599119,1522,10019.572664
6548.873869,794,10024.822477
4333.908583,613,10028.562153
6.681959,1,10028.764982
5379.794856,622,10049.469588
15310.164477,1827,10077.481463
10454.532153,1369,10086.2599
10910.485315,1190,10110.53207
5977.464323,935,10116.244748
7.134389,1,10116.459654
15274.17074,2291,10166.074019
15835.48988,1984,10179.060776
583.198354,134,10197.229096
6.468751,1,10197.435929
7.577236,1,10197.618869
211.663789,91,10198.342391
108.426932,74,10198.954653
16452.225205,2136,10229.263983
220.206331,121,10230.450696
14521.098666,1648,10257.595682
6622.274567,923,10264.199821
13988.696045,1644,10292.86457
9776.752457,1440,10301.701793
19536.787622,1765,10332.356533
5193.301161,765,10356.515679
7716.778339,1087,10363.187248
13777.888003,1906,10392.173268
17014.12478,1845,10421.335925
8.191267,1,10421.534768
14444.954947,1440,10447.173822
12172.41705,1368,10456.069865
14072.026904,1927,10485.20411
6.330212,1,10485.405055
7611.972875,852,10508.153989
17340.163459,1825,10536.43452
12289.747474,1407,10545.423622
217.020223,84,10546.114747
4461.993069,757,10568.53722
14304.8783,1402,10577.854522
10698.268797,1256,10603.612688
14684.53911,1647,10634.236337
14327.800098,1586,10661.40735
6.741259,1,10661.636692
17319.313311,1615,10672.128129
8.388859,1,10672.339572
78.095974,75,10690.142028
